epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,486.315,0.46615,1.18261,0.817,0.00333,1,0.85611,0.82004,0.42335,3.20683,0.82136,0.000474138,0.000474138,0.000474138
65,493.304,0.56,1.1244,0.88103,0.00333,1,0.85611,0.82004,0.42335,3.20683,0.82136,0.000468992,0.000468992,0.000468992
66,500.637,0.46932,1.10804,0.90754,0.00333,1,0.945,0.78514,0.40889,3.18819,0.82529,0.00046345,0.00046345,0.00046345
67,508.153,0.59298,1.29918,0.84975,0.00333,1,0.945,0.78514,0.40889,3.18819,0.82529,0.000457512,0.000457512,0.000457512
68,514.906,0.42663,1.50531,0.88097,0.00333,1,0.945,0.78514,0.40889,3.18819,0.82529,0.000451178,0.000451178,0.000451178
69,521.463,0.50849,0.99575,0.81987,0.00333,1,0.8075,0.78292,0.41744,3.24991,0.82142,0.000444448,0.000444448,0.000444448
70,527.912,0.50489,0.96823,0.79545,0.00333,1,0.8075,0.78292,0.41744,3.24991,0.82142,0.000437322,0.000437322,0.000437322
71,533.765,0.55435,1.0952,0.79369,0.00333,1,0.8075,0.78292,0.41744,3.24991,0.82142,0.0004298,0.0004298,0.0004298
72,539.279,0.5292,0.9517,0.84384,0.00333,1,0.77441,0.7407,0.4803,3.23951,0.85367,0.000421882,0.000421882,0.000421882
73,544.153,0.41694,0.99322,0.85343,0.00333,1,0.77441,0.7407,0.4803,3.23951,0.85367,0.000413568,0.000413568,0.000413568
74,2746.04,0.40203,1.10241,0.83278,0.00333,1,0.77441,0.7407,0.4803,3.23951,0.85367,0.000404858,0.000404858,0.000404858
75,10191.6,0.48354,1.08328,0.87787,0.08266,0.75,0.76113,0.73298,0.4673,3.23273,0.85789,0.000395752,0.000395752,0.000395752
76,10196.6,0.54283,1.11016,0.8016,0.08266,0.75,0.76113,0.73298,0.4673,3.23273,0.85789,0.00038625,0.00038625,0.00038625
77,10200.9,0.37519,0.99362,0.81849,0.08266,0.75,0.76113,0.73298,0.4673,3.23273,0.85789,0.000376352,0.000376352,0.000376352
78,152842,0.46609,0.98242,0.7563,0.80176,0.75,0.76015,0.73071,0.52006,3.13586,0.8935,0.000366058,0.000366058,0.000366058
79,152847,0.42103,1.04882,0.83673,0.80176,0.75,0.76015,0.73071,0.52006,3.13586,0.8935,0.000355368,0.000355368,0.000355368
80,152853,0.4972,1.15859,0.78915,0.80176,0.75,0.76015,0.73071,0.52006,3.13586,0.8935,0.000344282,0.000344282,0.000344282
81,152859,0.67306,1.21166,0.97523,0.93402,0.75,0.77132,0.71612,0.51948,3.0508,0.90467,0.0003328,0.0003328,0.0003328
82,152868,0.42968,1.01093,0.89628,0.93402,0.75,0.77132,0.71612,0.51948,3.0508,0.90467,0.000320922,0.000320922,0.000320922
83,152873,0.44522,1.14405,0.86093,0.93402,0.75,0.77132,0.71612,0.51948,3.0508,0.90467,0.000308648,0.000308648,0.000308648
84,152879,0.44117,0.95543,0.78237,0.96433,0.75,0.81167,0.74178,0.47118,2.97705,0.88856,0.000295978,0.000295978,0.000295978
85,152883,0.48043,1.06147,0.88319,0.96433,0.75,0.81167,0.74178,0.47118,2.97705,0.88856,0.000282912,0.000282912,0.000282912
86,152888,0.53855,1.45949,0.81113,0.96433,0.75,0.81167,0.74178,0.47118,2.97705,0.88856,0.00026945,0.00026945,0.00026945
87,152892,0.3954,0.83654,0.86344,0.96433,0.75,0.81167,0.74178,0.47118,2.97705,0.88856,0.000255592,0.000255592,0.000255592
88,152895,0.43087,1.02825,0.83531,0.96745,0.75,0.83591,0.76781,0.44105,2.90042,0.87998,0.000241338,0.000241338,0.000241338
89,152899,0.39814,0.82182,0.78191,0.96745,0.75,0.83591,0.76781,0.44105,2.90042,0.87998,0.000226688,0.000226688,0.000226688
90,152902,0.44463,0.97168,0.82241,0.96745,0.75,0.83591,0.76781,0.44105,2.90042,0.87998,0.000211642,0.000211642,0.000211642
91,152905,0.34566,1.16782,0.83064,0.96745,0.75,0.83591,0.76781,0.44105,2.90042,0.87998,0.0001962,0.0001962,0.0001962
92,152908,0.34283,1.22496,0.83667,0.9668,0.75,0.88786,0.84861,0.40934,2.77052,0.8709,0.000180362,0.000180362,0.000180362
93,152911,0.3727,1.13727,0.81686,0.9668,0.75,0.88786,0.84861,0.40934,2.77052,0.8709,0.000164128,0.000164128,0.000164128
94,152914,0.32114,1.16236,0.82081,0.9668,0.75,0.88786,0.84861,0.40934,2.77052,0.8709,0.000147498,0.000147498,0.000147498
95,152917,0.33973,1.18292,0.82328,0.9668,0.75,0.88786,0.84861,0.40934,2.77052,0.8709,0.000130472,0.000130472,0.000130472
96,152920,0.34454,1.1021,0.80789,1,0.88741,0.995,0.91382,0.41335,2.64234,0.86169,0.00011305,0.00011305,0.00011305
97,152923,0.39242,1.1064,0.84087,1,0.88741,0.995,0.91382,0.41335,2.64234,0.86169,9.5232e-05,9.5232e-05,9.5232e-05
98,152926,0.36453,1.23644,0.82462,1,0.88741,0.995,0.91382,0.41335,2.64234,0.86169,7.7018e-05,7.7018e-05,7.7018e-05
99,152929,0.32106,1.1806,0.8308,1,0.88741,0.995,0.91382,0.41335,2.64234,0.86169,5.8408e-05,5.8408e-05,5.8408e-05
100,152935,0.30366,1.14142,0.80677,1,0.93764,0.995,0.91382,0.41002,2.51898,0.85563,3.9402e-05,3.9402e-05,3.9402e-05
