energy_kev,MiningHighVoltage,MiningLowVoltage,SoilHighVoltage,SoilMidVoltage,SoilLowVoltage
3.736257,0.004238,-0.062306,-0.000646,0.001393,0.000734
3.756298,0.101457,0.028199,-0.004931,-0.000288,-0.001339
3.776340,0.003875,-0.000048,0.003899,-0.000841,0.000343
3.796382,0.006125,-0.015910,0.002138,0.001843,0.000321
3.816423,0.006508,0.071081,-0.001542,-0.003144,-0.000046
3.836465,0.005931,0.051333,0.002955,0.000825,0.000253
3.856507,0.007942,0.017477,0.001043,0.000158,0.000167
3.876548,0.006019,0.017210,0.001408,0.001448,0.346141
3.896590,0.134251,0.078420,-0.004665,0.001428,0.000469
3.916632,0.010711,0.002371,-0.004705,0.154222,0.000689
3.936673,0.004132,0.097748,0.133539,0.000208,0.000260
3.956715,0.007270,0.064584,-0.001702,-0.000691,0.000251
3.976757,0.030021,0.078557,-0.133620,0.001835,0.000504
3.996798,0.001686,0.032784,-0.010126,0.000861,-0.000013
4.016840,0.003321,0.087742,-0.001815,0.001823,-0.000343
4.036882,0.006893,0.059622,0.002051,-0.001707,0.000259
4.056924,0.005991,0.114545,-0.000188,0.002791,0.000105
4.076965,0.001874,0.071488,-0.005789,0.000615,0.000264
4.097007,0.151710,0.043647,-0.001505,0.001204,0.000214
4.117049,0.002250,0.028273,-0.001297,0.001875,-0.345742
4.137090,0.003013,0.059439,-0.001776,0.000722,0.000629
4.157132,0.003084,0.106869,-0.002752,0.182665,0.000258
4.177174,0.009692,0.098021,-0.000699,-0.001646,-0.000090
4.197215,0.160250,-0.001746,-0.004365,0.000733,0.000186
4.217257,0.003118,0.052427,-0.003187,-0.000627,0.000340
4.237299,0.003926,0.077639,-0.009505,0.000359,0.000077
4.257340,0.005543,0.068871,0.142552,0.000102,0.000280
4.277382,0.003748,0.069882,0.001760,0.000977,0.000253
4.297424,0.004513,0.063809,0.002531,-0.000885,0.000391
4.317465,0.175904,0.013908,-0.000099,0.202491,0.000200
4.337507,0.003506,0.032086,-0.004817,0.000409,0.000418
4.357549,0.001134,0.049658,-0.005912,-0.203498,-0.344249
4.377590,0.006269,0.055486,-0.001539,0.000322,-0.001424
4.397632,0.139293,0.090522,-0.007248,-0.001560,0.000372
4.417674,0.002487,0.034520,0.002173,0.000645,0.000449
4.437716,0.002392,0.080361,-0.001379,0.000280,0.000336
4.457757,0.001592,0.086411,-0.000468,-0.000056,0.000760
4.477799,0.003044,0.026498,0.000944,0.001287,0.000115
4.497841,0.003249,0.062447,-0.004783,-0.000461,0.000379
4.517882,0.004296,0.030397,0.152298,0.002237,0.000930
4.537924,0.004483,0.065918,-0.001271,-0.000256,0.000658
4.557966,-0.158439,0.078028,-0.003622,0.000616,0.000168
4.578007,0.004262,0.043699,-0.000311,-0.230694,0.000378
4.598049,0.003757,0.061043,-0.001863,0.000947,-0.000046
4.618091,0.003806,0.034680,-0.006265,0.000460,0.000013
4.638132,0.001284,0.068685,-0.001506,-0.000207,-0.000194
4.658174,0.001551,0.013996,-0.005297,0.001177,0.000085
4.678216,0.003486,0.014156,0.001383,0.000543,0.000292
4.698257,0.003973,0.040301,-0.002382,0.000412,-0.000024
4.718299,0.003436,-0.025239,-0.006726,0.000045,-0.000032
4.738341,0.002801,0.033429,-0.000405,-0.000155,0.000212
4.758382,-0.199819,-0.015470,0.164016,0.000931,0.000462
4.778424,0.208065,-0.042985,0.165315,-0.001016,0.000702
4.798466,0.210211,0.001991,-0.002120,-0.000262,-0.139600
4.818508,0.207003,0.051921,0.000667,-0.000723,0.000506
4.838549,0.007475,0.007580,-0.002307,0.000758,0.000920
4.858591,0.000528,-0.004785,-0.000017,0.001046,-0.000327
4.878633,0.005098,-0.023927,-0.003610,0.001082,0.000007
4.898674,0.003144,0.004494,-0.000030,-0.144781,0.000591
4.918716,0.003422,-0.049820,-0.004143,0.275303,0.000274
4.938758,0.004512,-0.004845,-0.006383,0.000184,0.001108
4.958799,0.002928,-0.040852,-0.004735,-0.000129,0.001078
4.978841,0.003188,0.013438,0.178607,0.000459,0.000852
4.998883,0.002876,-0.012914,-0.179285,0.000577,0.000314
5.018924,0.003033,0.008066,0.182669,0.000690,0.000427
5.038966,0.002836,-0.031623,-0.001354,0.000011,0.000126
5.059008,0.001399,-0.027000,-0.002307,0.000159,0.196290
5.079049,0.003830,0.018882,-0.000063,0.000280,0.001230
5.099091,0.003962,-0.064434,0.000056,-0.000018,0.001556
5.119133,0.003999,-0.013845,0.000007,0.000353,-0.000091
5.139174,0.001178,0.000561,0.000378,0.000865,0.177620
5.159216,0.002235,0.015699,-0.001492,0.000036,0.000769
5.179258,0.002232,-0.057177,-0.001424,0.000155,-0.000876
5.199300,0.002936,-0.040267,0.000526,0.000037,0.000633
5.219341,0.016386,0.019309,0.203527,0.000131,0.000828
5.239383,0.237677,-0.005712,-0.006786,-0.000213,-0.001279
5.259425,0.240436,-0.015644,-0.001262,-0.000205,-0.000582
5.279466,0.002730,-0.023278,-0.000208,-0.000439,0.133513
5.299508,0.001021,-0.037906,-0.001732,-0.000095,-0.123825
5.319550,0.211416,-0.024074,-0.000255,0.000424,-0.001781
5.339591,-0.179175,-0.008571,-0.000609,-0.000960,0.000145
5.359633,0.004424,0.040450,-0.003236,0.000079,0.103792
5.379675,0.006149,-0.022100,0.000408,0.000632,0.004384
5.399716,0.006792,-0.020386,0.002072,0.000723,0.005484
5.419758,0.005061,-0.055227,-0.002120,0.000707,0.000233
5.439800,0.046998,-0.031502,0.000311,0.000481,0.001566
5.459841,0.004251,0.010324,-0.002280,-0.000338,0.003712
5.479883,0.002687,-0.015672,-0.001677,0.000920,0.000211
5.499925,0.213002,-0.049842,-0.001605,0.000047,-0.003612
5.519966,0.002672,-0.031530,0.000923,-0.000207,-0.002149
5.540008,0.001211,0.036212,-0.000580,0.000463,0.000769
5.560050,0.002141,-0.009414,-0.001032,0.000026,0.103554
5.580092,0.002451,-0.028690,0.000961,-0.355532,0.000014
5.600133,0.002823,-0.025540,-0.000353,0.000187,-0.001709
5.620175,0.002392,-0.006212,-0.003330,-0.000786,0.098163
5.640217,0.001097,-0.044050,-0.001181,0.000490,-0.087597
5.660258,0.002482,-0.045983,-0.001005,0.000105,-0.000670
5.680300,0.002468,-0.018688,-0.000823,0.000197,-0.083701
