folder,csv,n,energy_min,energy_max,energy_mean,energy_std,step_mean,step_std
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020312_2026_04_07_feldspar_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020312_2026_04_07_feldspar_150\020312_2026_04_07_14014629_MiningHighVoltage_feldspar.csv,2048,-10.552457374226854,41006.39309072364,20497.920316674707,11846.35521839295,20.037589422617426,2.768254141259806e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020462_2026_04_07_feldspar_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020462_2026_04_07_feldspar_150\020462_2026_04_07_15033818_MiningHighVoltage_feldspar.csv,2048,-11.079406562659374,41009.3551332547,20499.13786334602,11847.362895456927,20.039293864102277,2.724423065197832e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020612_2026_04_07_feldspar_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020612_2026_04_07_feldspar_150\020612_2026_04_07_16041264_MiningHighVoltage_feldspar.csv,2048,-11.031282201965478,41008.19930668587,20498.584012241954,11847.01517501636,20.038705710252973,2.7250091574582023e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020762_2026_04_08_feldspar_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020762_2026_04_08_feldspar_150\020762_2026_04_08_10001764_MiningHighVoltage_feldspar.csv,2048,-11.163123179579234,41008.67624715661,20498.756561988514,11847.191000914441,20.039003112035267,2.758885758112384e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020912_2026_04_08_feldspar_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\020912_2026_04_08_feldspar_150\020912_2026_04_08_11041632_MiningHighVoltage_feldspar.csv,2048,-10.99444349625258,41008.567792745926,20498.786674624833,11847.110960119668,20.038867726547227,2.51234917993174e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021062_2026_04_08_quartz_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021062_2026_04_08_quartz_150\021062_2026_04_08_13221966_MiningHighVoltage_quartz.csv,2048,-11.493055143263804,41011.51772273741,20500.012333797073,11848.106954548048,20.040552407367205,2.8073866048123477e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021212_2026_04_08_quartz_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021212_2026_04_08_quartz_150\021212_2026_04_08_14342844_MiningHighVoltage_quartz.csv,2048,-11.177111432494549,41007.6718624779,20498.247375522704,11846.904958457837,20.038519283786222,2.370855141744588e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021362_2026_04_08_quartz_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021362_2026_04_08_quartz_150\021362_2026_04_08_15380762_MiningHighVoltage_quartz.csv,2048,-11.02363957824899,41006.98035500733,20497.978357714543,11846.660914804654,20.03810649466809,2.8187359977559195e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021512_2026_04_08_quartz_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021512_2026_04_08_quartz_150\021512_2026_04_08_16513493_MiningHighVoltage_quartz.csv,2048,-11.264554311486828,41007.86608711023,20498.30076639937,11846.986308576625,20.038656883938312,2.5751659779915164e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021662_2026_04_09_quartz_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021662_2026_04_09_quartz_150\021662_2026_04_09_10063933_MiningHighVoltage_quartz.csv,2048,-11.273806823442747,41008.84724462596,20498.786718901254,11847.272354961673,20.039140718832144,2.8654736119610954e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021812_2026_04_10_quartz_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021812_2026_04_10_quartz_150\021812_2026_04_10_10251301_MiningHighVoltage_quartz.csv,2048,-11.910927051308244,41011.44519128396,20499.767132116325,11848.206694439496,20.040721113011855,2.6320706110138837e-12
C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021962_2026_04_13_zircon_150,C:\Users\phuynh\Projects\robotray-main\robotray_v2\sample_outputs_v2\021962_2026_04_13_zircon_150\021962_2026_04_13_10032364_MiningHighVoltage_zircon.csv,2048,-11.53844084979323,41013.78986464856,20501.125711899385,11848.77629389111,20.041684565460848,2.7227317662936444e-12
